MAG,domain,phylum,class,order,family,genus,species
raw-080913-8-1-ph_bin_47_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Pasteurellaceae,Aggregatibacter,
raw-080913-8-1-ph_bin_48_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Tomitella,
raw-080913-8-1-ph_bin_50_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Oxalobacter,
raw-080913-8-1-ph_bin_55_modified,Bacteria,Bacillota_A,Clostridia,Christensenellales,MGBC116941,,
raw-080913-8-1-ph_bin_57_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Pasteurellaceae,Aggregatibacter,
raw-080913-8-1-ph_bin_5_modified,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,Avichristensenella,
raw-080913-8-1-ph_bin_60_modified,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,
raw-080913-8-1-ph_bin_63_modified,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,
raw-080913-8-1-ph_bin_64_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
raw-080913-8-1-ph_bin_65_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,,
raw-080913-8-1-ph_bin_66_modified,Bacteria,Actinomycetota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,WRGV01,
raw-080913-8-1-ph_bin_67_modified,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,,
raw-080913-8-1-ph_bin_6_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_bin_77_modified,Bacteria,Bacillota_A,Clostridia,Christensenellales,MGBC116941,,
raw-080913-8-1-ph_bin_7_modified,Bacteria,Desulfobacterota,Desulfarculia,Adiutricales,Adiutricaceae,Adiutrix,
raw-080913-8-1-ph_bin_8_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_bin_9_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_rerun_bin_12_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A,Lautropia,
raw-080913-8-1-ph_rerun_bin_13_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_A devriesei
raw-080913-8-1-ph_rerun_bin_17_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,,
raw-080913-8-1-ph_rerun_bin_19_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,,
raw-080913-8-1-ph_rerun_bin_1_modified,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Scandinavium,Scandinavium sp002470465
raw-080913-8-1-ph_rerun_bin_20_modified,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,
raw-080913-8-1-ph_rerun_bin_24_modified,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,
raw-080913-8-1-ph_rerun_bin_25_modified,Bacteria,Actinomycetota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,
raw-080913-8-1-ph_rerun_bin_26_modified,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Cellulomonas,
raw-080913-8-1-ph_rerun_bin_31_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_rerun_bin_32_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
raw-080913-8-1-ph_rerun_bin_34_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_rerun_bin_36_modified,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,,
raw-080913-8-1-ph_rerun_bin_37_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_rerun_bin_39_modified,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA2174_A,,
raw-080913-8-1-ph_rerun_bin_40_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,,
raw-080913-8-1-ph_rerun_bin_41_modified,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,,
raw-080913-8-1-ph_rerun_bin_45_modified,Bacteria,Bacillota_A,Clostridia,Eubacteriales,Eubacteriaceae,,
raw-080913-8-1-ph_rerun_bin_49_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
raw-080913-8-1-ph_rerun_bin_4_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,,
raw-080913-8-1-ph_rerun_bin_52_modified,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Frigididesulfovibrio,
raw-080913-8-1-ph_rerun_bin_53_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus petauri
raw-080913-8-1-ph_rerun_bin_55_modified,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,UBA8131,WQXH01,
raw-080913-8-1-ph_rerun_bin_60_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,,
raw-080913-8-1-ph_rerun_bin_61_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Gemellaceae,Gemella,
raw-080913-8-1-ph_rerun_bin_63_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Gemellaceae,Gemella,
raw-080913-8-1-ph_rerun_bin_71_modified,Bacteria,Bacillota,Bacilli,Staphylococcales,Gemellaceae,Gemella,
raw-080913-8-1-ph_rerun_bin_72_modified,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
raw-080913-8-1-ph_rerun_bin_73_modified,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,JAAYCI01,
